Date,Price,Residual Std Dev,Upper Bound,Lower Bound,Type
2012-12-04,17.690001000000002,0.18973382950386816,19.75466914751934,17.85733085248066,Low
2013-01-14,14.9,0.2498901330769371,18.318450765384686,15.819549434615315,Low
2013-02-15,14.05,0.2164574487822912,16.24228724391146,14.077712756088546,Low
2013-04-02,13.32,0.17041860227099667,15.255093011354981,13.550906988645016,Low
2013-04-03,12.45,0.2789010975636738,15.68850548781837,12.899494512181631,Low
2013-06-20,11.86,0.35735853455909267,15.844792672795462,12.271207327204534,Low
2013-09-10,15.8,0.11744424937736887,17.790221246886844,16.615778753113155,Low
2014-01-16,11.31,0.2258516966703792,14.438258483351895,12.179741516648104,Low
2014-03-13,12.04,0.17167155332850814,11.802357766642542,10.08564223335746,High
2014-05-27,8.9,0.09507429843139857,9.891371492156994,8.940628507843007,Low
2014-06-12,10.35,0.2065173923264911,10.325586961632455,8.260413038367544,High
2014-10-08,9.76,0.1329044769750088,9.514522384875045,8.185477615124958,High
2014-12-16,7.52,0.11310884629909325,8.922544231495467,7.791455768504535,Low
2015-01-05,9.35,0.16651513111092728,9.008575655554637,7.3434243444453635,High
2015-01-06,9.96,0.3327549148146931,9.951774574073466,6.624225425926535,High
2015-01-23,7.5,0.31829666455473116,11.087483322773656,7.904516677226344,Low
2015-02-25,7.55,0.06498581041700885,7.522929052085043,6.873070947914956,High
2015-02-26,7.76,0.09570028445330932,7.724501422266547,6.767498577733454,High
2015-07-07,6.28,0.10585005117303031,7.6672502558651505,6.6087497441348475,Low
2015-07-20,4.36,0.19899539358152574,7.05997696790763,5.070023032092372,Low
2015-11-12,3.99,0.10013108075584252,5.282655403779213,4.281344596220787,Low
2015-11-13,4.1,0.11077108527649712,5.2088554263824856,4.101144573617515,Low
2015-12-23,4.88,0.07062073979284955,4.833103698964248,4.126896301035753,High
2016-01-14,3.97,0.14285719365078578,5.439285968253929,4.010714031746072,Low
2016-03-03,6.88,0.15082222795213113,6.693111139760656,5.1848888602393455,High
2016-04-07,7.56,0.12761003966076676,7.512050198303833,6.235949801696166,High
2016-04-08,8.03,0.19898397478747487,7.970919873937375,5.9810801260626265,High
2016-04-29,9.05,0.1602954217132301,8.749477108566152,7.14652289143385,High
2016-07-04,12.0,0.29432312175566494,11.774615608778326,8.831384391221675,High
2016-08-24,9.71,0.2813401263002962,12.809700631501482,9.99629936849852,Low
2016-10-04,9.63,0.21269393764541383,11.914469688227072,9.787530311772933,Low
2016-11-11,8.6,0.2708874510033842,11.60243725501692,8.893562744983079,Low
2016-12-28,8.89,0.08235937509881286,8.669796875494065,7.846203124505936,High
2016-12-29,9.73,0.18841691360738702,9.238084568036935,7.353915431963066,High
2017-01-26,9.92,0.21464598761682102,12.108229938084108,9.961770061915896,Low
2017-02-27,9.62,0.19354726669329333,11.893736333466467,9.958263666533533,Low
2017-04-12,11.32,0.0942514367706616,11.31925718385331,10.376742816146695,High
2017-05-04,8.48,0.17418320495641618,10.620916024782082,8.879083975217918,Low
2017-06-06,9.79,0.09144275683605739,9.277213784180287,8.362786215819714,High
2017-08-03,9.66,0.07583461537378339,9.088173076868918,8.329826923131085,High
2017-08-29,10.32,0.0944808034588127,10.273404017294066,9.328595982705938,High
2017-09-11,8.6,0.16220426080169012,11.03502130400845,9.41297869599155,Low
2017-10-26,8.04,0.14847012419264138,9.538350620963207,8.053649379036795,Low
