Name,Ticker
BMO S&P/TSX Equal Weight Global Gold Index ETF,ZGD.TO
BMO S&P/TSX Equal Weight Oil & Gas Index ETF,ZEO.TO
BMO Mid Corporate Bond Index ETF,ZCM.TO
iShares Core Canadian Short Term Corporate + Maple Bond Index ETF,XSH.TO
iShares Edge MSCI Multifactor Canada Index ETF,XFC.TO
Vanguard S&P 500 Index ETF,VFV.TO
PowerShares S&P 500 Low Volatility (CAD Hedged) Index ETF,ULV.TO
PowerShares S&P/TSX Composite Low Volatility Index ETF,TLV.TO
RBC Target 2016 Corporate Bond Index ETF,RQD.TO
RBC Quant U.S. Dividend Leaders (CAD Hedged) ETF,RHU.TO
RBC Quant EAFE Dividend Leaders (CAD Hedged) ETF,RHI.TO
Purpose Fund Corp. - Purpose Duration Hedged Real Estate Fund,PHR.TO
HORIZONS SP TSX 60 INDEX ETF US,HXT-U.TO
Horizons S&P/TSX Capped Energy Index ETF,HXE.TO
BetaPro S&P 500 VIX Short-Term Futures 2x Daily Bull ETF,HVU.TO
BetaPro S&P 500 VIX Short-Term Futures Daily Inverse ETF,HVI.TO
Horizons Gold ETF,HUG.TO
BetaPro S&P 500 2x Daily Bull ETF,HSU.TO
BetaPro Crude Oil 2x Daily Bull ETF,HOU.TO
Horizons Natural Gas Yield ETF,HNY.TO
BetaPro Natural Gas -2x Daily Bear ETF,HND.TO
BetaPro Canadian Gold Miners 2x Daily Bull ETF,HGU.TO
Horizons S&P/TSX 60 Equal Weight Index ETF,HEW.TO
Horizons Enhanced Income Gold Producers ETF,HEP.TO
Horizons US Dollar Currency ETF,DLR.TO
iShares Convertible Bond Index ETF,CVD.TO
iShares S&P/TSX Canadian Preferred Share Index ETF,CPD.TO
iShares Premium Money Market ETF,CMR.TO
iShares US Fundamental Index ETF,CLU-A.TO
iShares S&P/TSX Canadian Dividend Aristocrats Index ETF,CDZ.TO
Canadian Crude Oil Index ETF,CCX.TO
BMO Covered Call Utilities ETF,ZWU.TO
BMO US High Dividend Covered Call ETF,ZWH.TO
BMO US HIGH DIVIDEND COV CALL E,ZWH-U.TO
BMO S&P 500 Hedged to CAD Index ETF,ZUE.TO
BMO US Dividend Hedged to CAD ETF,ZUD.TO
BMO Equal Weight US Banks Hedged to CAD Index ETF,ZUB.TO
BMO Short-Term US IG Corporate Bond Hedged to CAD Index ETF,ZSU.TO
BMO Ultra Short-Term Bond ETF,ZST.TO
BMO Equal Weight REITs Index ETF,ZRE.TO
BMO NASDAQ 100 Equity Hedged to CAD Index ETF,ZQQ.TO
BMO Mid Provincial Bond Index ETF,ZMP.TO
BMO LOW VOLATILITY US EQUITY ET,ZLU-U.TO
BMO Low Volatility International Equity ETF,ZLI.TO
BMO Junior Gas Index ETF,ZJN.TO
BMO Junior Gold Index ETF,ZJG.TO
BMO Global Infrastructure Index ETF,ZGI.TO
BMO Short Federal Bond Index ETF,ZFS.TO
BMO Mid Federal Bond Index ETF,ZFM.TO
BMO MSCI Europe High Quality Hedged to CAD Index ETF,ZEQ.TO
BMO S&P/TSX Equal Weight Banks Index ETF,ZEB.TO
BMO MSCI EAFE Index ETF,ZEA.TO
BMO US DIVIDEND ETF USD,ZDY-U.TO
BMO MSCI EAFE Hedged to CAD Index ETF,ZDM.TO
BMO International Dividend ETF,ZDI.TO
BMO International Dividend Hedged to CAD ETF,ZDH.TO
BMO S&P/TSX Capped Composite Index ETF,ZCN.TO
BMO China Equity Index ETF,ZCH.TO
First Asset Morningstar US Value Index ETF,XXM-B.TO
iShares MSCI World Index ETF,XWD.TO
iShares Core S&P 500 Index ETF,XUS.TO
iShares Core High Quality Canadian Bond Index ETF,XQB.TO
iShares S&P/TSX North American Preferred Stock Index ETF (CAD-Hedged),XPF.TO
iShares Edge MSCI Min Vol Canada Index ETF,XMV.TO
iShares Edge MSCI Min Vol Emerging Markets Index ETF,XMM.TO
iShares Edge MSCI Min Vol EAFE Index ETF,XMI.TO
iShares S&P/TSX Capped Materials Index ETF,XMA.TO
iShares Core Canadian Long Term Bond Index ETF,XLB.TO
iShares India Index ETF,XID.TO
iShares Canadian HYBrid Corporate Bond Index ETF,XHB.TO
iShares Growth Core Portfolio Builder Fund,XGR.TO
iShares Global Completion Portfolio Builder Fund,XGC.TO
iShares Edge MSCI Multifactor USA Index ETF (CAD-Hedged),XFS.TO
iShares Core MSCI EAFE IMI Index ETF (CAD-Hedged),XFH.TO
iShares MSCI Europe IMI Index ETF,XEU.TO
iShares Jantzi Social Index ETF,XEN.TO
iShares J.P. Morgan USD Emerging Markets Bond Index ETF (CAD-Hedged),XEB.TO
iShares Canadian Select Dividend Index ETF,XDV.TO
iShares Conservative Core Portfolio Builder Fund,XCR.TO
iShares Core Canadian Universe Bond Index ETF,XBB.TO
Vanguard U.S. Total Market Index ETF (CAD-Hedged),VUS.TO
Vanguard S&P 500 Index ETF (CAD-hedged),VSP.TO
Vanguard Canadian Short-Term Bond Index ETF,VSB.TO
Vanguard FTSE Canadian High Dividend Yield Index ETF,VDY.TO
Vanguard FTSE Canada Index ETF,VCE.TO
First Asset Morningstar US Dividend Target 50 Index ETF,UXM-D.TO
RBC Quant U.S. Dividend Leaders ETF,RUD.TO
RBC QUANT US DIV LEADERS USD ET,RUD-U.TO
RBC Target 2019 Corporate Bond Index ETF,RQG.TO
RBC Quant European Dividend Leaders ETF,RPD.TO
RBC Quant Canadian Dividend Leaders ETF,RCD.TO
Questrade Russell US Midcap Value Index ETF Hedged to CAD,QMV.TO
PowerShares FTSE RAFI Canadian Small-Mid Fundamental Index ETF,PZC.TO
Purpose Fund Corp. - Purpose US Dividend Fund,PUD.TO
PowerShares Global Shareholder Yield ETF,PSY.TO
PowerShares Canadian Preferred Share Index ETF,PPS.TO
Purpose Funds - Purpose Monthly Income Fund,PIN.TO
Purpose Fund Corp. - Purpose International Dividend Fund,PID.TO
Purpose Fund Corp. - Purpose Tactical Hedged Equity Fund,PHE.TO
PowerShares Canadian Dividend Index ETF,PDC.TO
Purpose Fund Corp. - Purpose Total Return Bond Fund,PBD.TO
Royal Canadian Mint - Canadian Silver Reserves,MNS.TO
PowerShares S&P International Developed Low Volatility Index ETF,ILV.TO
BetaPro Silver 2x Daily Bull ETF,HZU.TO
Horizons S&P/TSX 60 Index ETF,HXT.TO
Horizons Silver ETF,HUZ.TO
Horizons Crude Oil ETF,HUC.TO
BetaPro US 30-year Bond -2x Daily Bear ETF,HTD.TO
Horizons Active Floating Rate Senior Loan ETF,HSL.TO
BetaPro NASDAQ-100 2x Daily Bull ETF,HQU.TO
Horizons Active Preferred Share ETF,HPR.TO
BetaPro Natural Gas 2x Daily Bull ETF,HNU.TO
Horizons Managed Multi-Asset Momentum ETF,HMA.TO
BetaPro S&P/TSX 60 Daily Inverse ETF,HIX.TO
Horizons Gold Yield ETF,HGY.TO
Horizons Managed Global Opportunities ETF,HGM.TO
Horizons Active Floating Rate Bond ETF,HFR.TO
BetaPro S&P/TSX Capped Energy 2x Daily Bull ETF,HEU.TO
Horizons Enhanced Income Financials ETF,HEF.TO
Horizons Enhanced Income Energy ETF,HEE.TO
BetaPro S&P/TSX Capped Energy -2x Daily Bear ETF,HED.TO
Horizons Enhanced Income US Equity (USD) ETF,HEA.TO
Horizons Enhanced Income US Equity (USD) ETF,HEA-A.TO
Horizons China High Dividend Yield Index ETF,HCN.TO
Horizons Active Cdn Dividend ETF,HAL.TO
Horizons Seasonal Rotation ETF,HAC.TO
iShares Canadian Financial Monthly Income ETF,FIE.TO
First Trust Global Risk Managed Income Index ETF,ETP.TO
PowerShares S&P Emerging Markets Low Volatility Index ETF,ELV.TO
iShares US Dividend Growers Index ETF (CAD-Hedged),CUD.TO
iShares Short Duration High Income ETF (CAD-Hedged),CSD.TO
iShares Canadian Fundamental Index ETF,CRQ.TO
iShares US Fundamental Index ETF,CLU.TO
iShares US Fundamental Index ETF,CLU-C.TO
iShares US Fundamental Index ETF,CLU-B.TO
iShares 1-10 Year Laddered Government Bond Index ETF,CLG.TO
iShares 1-10 Year Laddered Government Bond Index ETF,CLG-A.TO
iShares Global Infrastructure Index ETF,CIF.TO
iShares International Fundamental Index ETF,CIE.TO
iShares International Fundamental Index ETF,CIE-A.TO
First Asset Fund Corp. - First Asset CanBanc Income Class ETF,CIC.TO
iShares Equal Weight Banc & Lifeco ETF,CEW.TO
iShares 1-5 Year Laddered Corporate Bond Index ETF,CBO-A.TO
iShares Balanced Growth CorePortfolio Index ETF,CBN.TO
iShares 1-10 Year Laddered Corporate Bond Index ETF,CBH.TO
PowerShares Senior Loan (CAD Hedged) Index ETF,BKL.TO
iShares Edge MSCI Multifactor EAFE Index ETF,XFI.TO
Questrade Russell 1000 Equal Weight US Technology Index ETF Hedged to CAD,QRT.TO
iShares Global Monthly Dividend Index ETF (CAD-Hedged),CYH-A.TO
Horizons Morningstar Hedge Fund Index ETF,HHF-A.TO
Purpose Fund Corp. - Purpose Tactical Hedged Equity Fund,PHE-B.TO
Questrade Global Total Equity ETF,QGE.TO
iShares Global Water Index ETF,CWW.TO
PowerShares FTSE RAFI Global+ Fundamental Index ETF,PXG.TO
Vanguard FTSE Canadian Capped REIT Index ETF,VRE.TO
BMO SP 500 INDEX ETF USD,ZSP-U.TO
Questrade Russell 1000 Equal Weight US Consumer Discretionary Index ETF Hedged to CAD,QRD.TO
BMO MSCI Emerging Markets Index ETF,ZEM.TO
RBC Quant EAFE Equity Leaders ETF,RIE.TO
Horizons Canadian Midstream Oil & Gas Index ETF,HOG.TO
iShares Edge MSCI Min Vol Global Index ETF,XMW.TO
BMO Emerging Markets Bond Hedged to CAD Index ETF,ZEF.TO
iShares BRIC Index ETF,CBQ-A.TO
Horizons Seasonal Rotation ETF,HAC-A.TO
Purpose Fund Corp. - Purpose Enhanced U.S. Equity Fund,PEU.TO
RBC Quant Emerging Markets Equity Leaders ETF,RXE.TO
iShares Edge MSCI Min Vol USA Index ETF,XMU.TO
Horizons Enhanced Income International Equity ETF,HEJ-A.TO
iShares S&P/TSX Canadian Preferred Share Index ETF,CPD-A.TO
Vanguard FTSE Developed All Cap Ex North America Index ETF,VIU.TO
iShares U.S. Small Cap Index ETF (CAD-Hedged),XSU.TO
BMO Junior Oil Index ETF,ZJO.TO
RBC Strategic Global Dividend Leaders ETF,RLD.TO
iShares MSCI Emerging Markets Index ETF,XEM.TO
BetaPro Gold Bullion 2x Daily Bull ETF,HBU.TO
iShares Balanced Income CorePortfolio Index ETF,CBD.TO
RBC 1-5 Year Laddered Canadian Bond ETF,RLB.TO
First Asset Global Momentum ETF,FGL.TO
iShares Silver Bullion ETF,SVR-C.TO
HORIZONS US 7 TO 10 YR TREAS BD,HTB-U.TO
RBC Quant EAFE Dividend Leaders ETF,RID.TO
BMO Equal Weight US Banks Index ETF,ZBK.TO
PowerShares FTSE RAFI Global Small-Mid Fundamental ETF,PZW.TO
BetaPro Gold Bullion -2x Daily Bear ETF,HBD.TO
iShares Global Infrastructure Index ETF,CIF-A.TO
RBC Quant European Dividend Leaders (CAD Hedged) ETF,RHP.TO
iShares U.S. High Yield Bond Index ETF (CAD-Hedged),XHY.TO
First Asset MSCI World Low Risk Weighted ETF,RWW-D.TO
BMO US Put Write ETF,ZPW.TO
iShares China Index ETF,XCH.TO
PowerShares 1-5 Year Laddered Investment Grade Corporate Bond Index ETF,PSB.TO
PowerShares 1-3 Year Laddered Floating Rate Note Index ETF,PFL.TO
Horizons Cdn Insider Index ETF,HII.TO
Horizons Enhanced Income Energy ETF,HEE-A.TO
RBC Target 2017 Corporate Bond Index ETF,RQE.TO
iShares Balanced Growth CorePortfolio Index ETF,CBN-A.TO
POWERSHARES LAD US 0 TO 5 YR CO,USB-U.TO
First Trust AlphaDEX U.S. Dividend ETF (CAD-Hedged),FUD-A.TO
iShares U.S. High Dividend Equity Index ETF (CAD-Hedged),XHD.TO
First Asset Morningstar US Dividend Target 50 Index ETF,UXM-B.TO
First Asset Energy Giants Covered Call ETF,NXF-A.TO
PowerShares FTSE RAFI U.S. Fundamental Index ETF II,PXS.TO
RBC 1-5 Year Laddered Corporate Bond ETF,RBO.TO
Purpose Fund Corp. - Purpose Best Ideas Fund,PBI-B.TO
HORIZONS ENHD INC US EQUITY USD,HEA-V.TO
First Asset Energy Giants Covered Call ETF,NXF-D.TO
Horizons Cdn Select Universe Bond ETF,HBB.TO
BMO Short Provincial Bond Index ETF,ZPS.TO
Purpose Fund Corp. - Purpose Premium Yield Fund,PYF.TO
BMO S&P/TSX Equal Weight Industrials Index ETF,ZIN.TO
Questrade Russell 1000 Equal Weight US Industrials Index ETF Hedged to CAD,QRI.TO
Horizons Active Cdn Dividend ETF,HAL-A.TO
Purpose Fund Corp. - Purpose International Tactical Hedged Equity Fund,PHW.TO
iShares S&P U.S. Mid-Cap Index ETF,XMC.TO
BMO Equity Linked Corporate Bond ETF,ZEL.TO
First Asset Canadian REIT ETF,RIT.TO
iShares Global Healthcare Index ETF (CAD-Hedged),XHC.TO
Horizons Active Cdn Municipal Bond ETF,HMP-A.TO
iShares Core S&P 500 Index ETF (CAD-Hedged),XSP.TO
iShares S&P/TSX Capped REIT Index ETF,XRE.TO
iShares MSCI EAFE Index ETF (CAD-Hedged),XIN.TO
iShares Core S&P/TSX Capped Composite Index ETF,XIC.TO
iShares S&P/TSX Capped Financials Index ETF,XFN.TO
iShares S&P/TSX Capped Energy Index ETF,XEG.TO
RBC Quant Canadian Equity Leaders ETF,RCE.TO
iShares Canadian Financial Monthly Income ETF,FIE-A.TO
iShares Equal Weight Banc & Lifeco ETF,CEW-A.TO
iShares Global Real Estate Index ETF,CGR-A.TO
BMO US Dividend ETF,ZDY.TO
RBC QUANT EAFE DIV LEADERS USD,RID-U.TO
RBC Quant Emerging Markets Dividend Leaders ETF,RXD.TO
HORIZONS ACTIVE US DIVIDEND ETF,HAU-U.TO
First Asset Morningstar US Momentum Index ETF,YXM.TO
Horizons Morningstar Hedge Fund Index ETF,HHF.TO
iShares S&P/TSX Global Gold Index ETF,XGD.TO
Purpose Fund Corp. - Purpose Tactical Investment Grade Bond Fund,BND.TO
PWRSHR FTSE RAFI GLOBAL PLUS FD,PXG-U.TO
iShares 1-5 Year Laddered Government Bond Index ETF,CLF-A.TO
iShares 1-5 Year Laddered Government Bond Index ETF,CLF.TO
Hamilton Capital Global Bank ETF,HBG.TO
