Name,Ticker
iShares S&P/TSX Canadian Dividend Aristocrats Index ETF,CDZ-A.TO
First Asset Morningstar US Dividend Target 50 Index ETF,UXM-A.TO
First Trust AlphaDEX European Dividend Index ETF (CAD-Hedged),EUR-A.TO
First Asset Fund Corp. - First Asset Short Term Government Bond Index Class ETF,FGB.TO
First Trust Senior Loan ETF (CAD-Hedged),FSL-A.TO
Vanguard U.S. Total Market Index ETF,VUN.TO
iShares Core Canadian Short Term Bond Index ETF,XSB.TO
BMO MID TERM US IG CORP BOND ID,ZIC-U.TO
iShares S&P/TSX Capped Information Technology Index ETF,XIT.TO
iShares Conservative Short Term Strategic Fixed Income ETF,XSC.TO
iShares Core S&P U.S. Total Market Index ETF,XUU.TO
iShares Short Term Strategic Fixed Income ETF,XSI.TO
First Trust AlphaDEX Canadian Dividend ETF,FDY-A.TO
First Asset Morningstar International Value Index ETF,VXM.TO
First Asset Morningstar Canada Value Index ETF,FXM-A.TO
BMO Low Volatility Canadian Equity ETF,ZLB.TO
First Asset Morningstar International Value Index ETF,VXM-B.TO
Vanguard Canadian Short-Term Corporate Bond Index ETF,VSC.TO
First Asset Morningstar US Value Index ETF,XXM-D.TO
First Asset Morningstar US Value Index ETF,XXM-A.TO
BMO Low Volatility International Equity Hedged to CAD ETF,ZLD.TO
Vanguard FTSE Developed All Cap ex U.S. Index ETF,VDU.TO
First Asset Morningstar US Value Index ETF,XXM.TO
Vanguard FTSE Canada All Cap Index ETF,VCN.TO
First Asset Morningstar International Value Index ETF,VXM-A.TO
Vanguard Global ex-U.S. Aggregate Bond Index ETF (CAD-hedged),VBG.TO
BMO US PUT WRITE ETF USD,ZPW-U.TO
iShares Global Water Index ETF,CWW-A.TO
BMO Equal Weight Utilities Index ETF,ZUT.TO
iShares S&P/TSX Completion Index ETF,XMD.TO
iShares Canadian Corporate Bond Index ETF,XCB.TO
iShares Conservative Strategic Fixed Income ETF,XSE.TO
iShares S&P Global Consumer Discretionary Index ETF (CAD-Hedged),XCD.TO
iShares 1-5 Year Laddered Corporate Bond Index ETF,CBO.TO
First Asset Morningstar US Momentum Index ETF,YXM-B.TO
First Asset Morningstar US Momentum Index ETF,YXM-A.TO
First Asset Morningstar US Momentum Index ETF,YXM-D.TO
BMO Monthly Income ETF,ZMI.TO
BMO Short Corporate Bond Index ETF,ZCS.TO
BMO Long Federal Bond Index ETF,ZFL.TO
BMO Canadian Dividend ETF,ZDV.TO
BMO Discount Bond Index ETF,ZDB.TO
First Asset Morningstar International Momentum Index ETF,ZXM-D.TO
BMO Long Corporate Bond Index ETF,ZLC.TO
First Asset Active Utility & Infrastructure ETF,FAI-A.TO
First Asset Active Credit ETF,FAO-A.TO
First Trust AlphaDEX European Dividend Index ETF (CAD-Hedged),EUR.TO
First Trust AlphaDEX U.S. Consumer Staples Sector Index ETF,FHC.TO
First Asset Core U.S. Equity ETF,CES-B.TO
First Asset Core U.S. Equity ETF,CES.TO
First Asset Core U.S. Equity ETF,CES-A.TO
First Asset 1-5 Year Laddered Government Strip Bond Index ETF,BXF.TO
First Asset Core Canadian Equity ETF,CED-A.TO
FIRST ASSET CORE US EQUITY ETF,CES-U.TO
First Asset Morningstar Canada Dividend Target 30 Index ETF,DXM.TO
CES-V.TO,CES-V.TO
First Asset Mstar EM Comp Bd ETF Comm,EXM.TO
CES-D.TO,CES-D.TO
iShares Balanced Income CorePortfolio Index ETF,CBD-A.TO
iShares S&P/TSX Global Base Metals Index ETF,XBM.TO
Purpose Fund Corp. - Purpose Core Dividend Fund,PDF.TO
iShares MSCI Europe IMI Index ETF (CAD-Hedged),XEH.TO
iShares 1-10 Year Laddered Corporate Bond Index ETF,CBH-A.TO
iShares Convertible Bond Index ETF,CVD-A.TO
iShares U.S. IG Corporate Bond Index ETF (CAD-Hedged),XIG.TO
iShares BRIC Index ETF,CBQ.TO
iShares MSCI Brazil Index ETF,XBZ.TO
iShares Emerging Markets Fundamental Index ETF,CWO.TO
iShares Gold Bullion ETF,CGL.TO
iShares Silver Bullion ETF,SVR.TO
iShares S&P/TSX Capped Utilities Index ETF,XUT.TO
iShares S&P/TSX Capped Consumer Staples Index ETF,XST.TO
iShares Canadian Fundamental Index ETF,CRQ-A.TO
iShares Canadian Growth Index ETF,XCG.TO
iShares Core MSCI Emerging Markets IMI Index ETF,XEC.TO
iShares Core MSCI EAFE IMI Index ETF,XEF.TO
iShares Emerging Markets Fundamental Index ETF,CWO-A.TO
iShares S&P Global Industrials Index ETF (CAD-Hedged),XGI.TO
iShares S&P/TSX SmallCap Index ETF,XCS.TO
