Stock Symbol,Date,Price,1day,3day,5day,10day,30day,Residual Std Dev,Upper Bound,Lower Bound,Type
AGI.TO,2014-12-16,7.52,0.7100000000000009,0.7300000000000004,0.28000000000000025,1.0999999999999996,-0.7399999999999993,0.1131088462990907,8.922544231495454,7.791455768504548,Low
AGI.TO,2015-01-05,9.35,0.6100000000000012,-0.15000000000000036,0.4800000000000004,0.46000000000000085,-2.25,0.16651513111092564,9.008575655554628,7.343424344445372,High
AGI.TO,2015-01-06,9.96,-0.370000000000001,-0.47000000000000064,-0.8600000000000012,0.14999999999999858,-2.660000000000001,0.33275491481469244,9.951774574073463,6.624225425926538,High
AGI.TO,2015-01-23,7.5,-0.3600000000000003,-0.5599999999999996,-0.7199999999999998,-0.5,-0.3899999999999997,0.31829666455473055,11.087483322773654,7.904516677226348,Low
AGI.TO,2015-02-25,7.55,0.20999999999999996,-0.1299999999999999,-0.10999999999999943,-0.2999999999999998,-0.3099999999999996,0.06498581041700695,7.5229290520850345,6.8730709479149645,High
AGI.TO,2015-02-26,7.76,-0.20000000000000018,-0.39999999999999947,-0.3199999999999994,-0.41000000000000014,-0.34999999999999964,0.09570028445330808,7.724501422266541,6.76749857773346,High
AGI.TO,2015-07-07,6.28,-0.020000000000000462,-0.15000000000000036,-0.28000000000000025,-1.8399999999999999,-0.8600000000000003,0.10585005117302906,7.667250255865144,6.608749744134854,Low
AGI.TO,2015-07-20,4.36,0.08000000000000007,-0.3700000000000001,-0.43000000000000016,-0.22000000000000064,1.4499999999999993,0.19899539358152568,7.059976967907629,5.070023032092373,Low
AGI.TO,2015-11-12,3.99,0.10999999999999943,-0.0900000000000003,0.20999999999999996,0.0699999999999994,0.9399999999999995,0.100131080755842,5.28265540377921,4.28134459622079,Low
AGI.TO,2015-11-13,4.1,-0.040000000000000036,-0.12999999999999945,-0.20999999999999952,-0.02999999999999936,0.5100000000000007,0.11077108527649673,5.208855426382484,4.101144573617517,Low
AGI.TO,2015-12-23,4.88,0.04999999999999982,-0.29000000000000004,-0.05999999999999961,-0.3700000000000001,0.8600000000000003,0.07062073979284715,4.833103698964236,4.126896301035765,High
AGI.TO,2016-01-14,3.97,-0.2400000000000002,-0.4500000000000002,-0.5500000000000003,0.4599999999999995,1.85,0.14285719365078475,5.439285968253924,4.010714031746077,Low
AGI.TO,2016-03-03,6.88,0.15000000000000036,0.17999999999999972,0.07000000000000028,0.08000000000000007,1.0600000000000005,0.15082222795213016,6.693111139760652,5.18488886023935,High
AGI.TO,2016-04-07,7.56,0.46999999999999975,0.4200000000000008,-0.009999999999999787,0.5000000000000009,1.410000000000001,0.12761003966076553,7.512050198303827,6.235949801696172,High
AGI.TO,2016-04-08,8.03,0.2400000000000002,-0.1899999999999995,-0.08999999999999897,-0.29999999999999893,1.120000000000001,0.19898397478747412,7.970919873937372,5.98108012606263,High
AGI.TO,2016-04-29,9.05,-0.1800000000000015,-0.8399999999999999,-0.040000000000000924,-0.3600000000000012,0.7699999999999996,0.16029542171322922,8.749477108566147,7.146522891433856,High
AGI.TO,2016-07-04,12.0,0.40000000000000036,0.7100000000000009,1.6099999999999994,0.23000000000000043,-0.3000000000000007,0.29432312175566466,11.774615608778324,8.831384391221677,High
AGI.TO,2016-08-24,9.71,0.2599999999999998,0.29999999999999893,-0.4800000000000004,0.6999999999999993,-0.21000000000000085,0.28134012630029603,12.809700631501482,9.99629936849852,Low
AGI.TO,2016-10-04,9.63,-0.030000000000001137,0.15999999999999837,0.3099999999999987,1.379999999999999,-0.7300000000000004,0.21269393764541372,11.914469688227072,9.787530311772933,Low
AGI.TO,2016-11-11,8.6,0.08999999999999986,0.3000000000000007,0.05000000000000071,-0.3200000000000003,-0.3200000000000003,0.2708874510033843,11.602437255016921,8.893562744983077,Low
AGI.TO,2016-12-28,8.89,0.8399999999999999,0.8300000000000001,2.4799999999999986,2.09,2.4499999999999993,0.08235937509881204,8.669796875494061,7.846203124505941,High
AGI.TO,2016-12-29,9.73,-0.47000000000000064,0.20999999999999908,0.75,1.0700000000000003,1.4399999999999995,0.18841691360738672,9.238084568036935,7.353915431963068,High
AGI.TO,2017-01-26,9.92,0.05000000000000071,-0.16000000000000014,0.5199999999999996,1.42,-0.4900000000000002,0.21464598761682047,12.108229938084104,9.9617700619159,Low
AGI.TO,2017-02-27,9.62,-0.009999999999999787,-0.41999999999999993,-0.6599999999999984,0.11000000000000121,1.120000000000001,0.1935472666932931,11.893736333466466,9.958263666533535,Low
AGI.TO,2017-04-12,11.32,-0.370000000000001,-0.6500000000000004,-0.9900000000000002,-1.7200000000000006,-2.630000000000001,0.09425143677065975,11.319257183853301,10.376742816146704,High
AGI.TO,2017-05-04,8.48,0.25,0.10999999999999943,0.33000000000000007,0.33000000000000007,1.0,0.17418320495641584,10.62091602478208,8.87908397521792,Low
AGI.TO,2017-06-06,9.79,0.0,-0.3299999999999983,-0.16999999999999993,-0.3899999999999988,-1.25,0.09144275683605542,9.277213784180278,8.362786215819723,High
AGI.TO,2017-08-03,9.66,0.0,0.22000000000000064,0.41000000000000014,0.0,-0.75,0.07583461537378058,9.088173076868904,8.3298269231311,High
AGI.TO,2017-08-29,10.32,-0.0600000000000005,-0.05000000000000071,-0.08000000000000007,-1.33,-1.3599999999999994,0.09448080345881059,10.273404017294055,9.328595982705949,High
AGI.TO,2017-09-11,8.6,0.20000000000000107,0.5400000000000009,0.3100000000000005,0.2900000000000009,-0.09999999999999964,0.16220426080168907,11.035021304008445,9.412978695991555,Low
