Date,Close
2012-10-17,12.38
2012-10-18,12.54
2012-10-19,12.34
2012-10-22,12.37
2012-10-23,12.15
2012-10-24,12.19
2012-10-25,12.39
2012-10-26,12.3
2012-10-29,12.14
2012-10-30,12.27
2012-10-31,12.34
2012-11-01,12.36
2012-11-02,12.56
2012-11-05,12.54
2012-11-06,12.52
2012-11-07,12
2012-11-08,11.82
2012-11-09,12.18
2012-11-12,12.3
2012-11-13,12.15
2012-11-14,11.96
2012-11-15,11.94
2012-11-16,11.93
2012-11-19,12.1
2012-11-20,12.15
2012-11-21,12.36
2012-11-22,12.4
2012-11-23,12.43
2012-11-26,12.48
2012-11-27,12.49
2012-11-28,12.62
2012-11-29,12.83
2012-11-30,12.78
2012-12-03,12.74
2012-12-04,12.76
2012-12-05,12.86
2012-12-06,12.86
2012-12-07,12.93
2012-12-10,13.03
2012-12-11,13.16
2012-12-12,13.1
2012-12-13,12.99
2012-12-14,12.95
2012-12-17,13
2012-12-18,13.43
2012-12-19,13.6
2012-12-20,13.66
2012-12-21,13.5
2012-12-24,13.49
2012-12-27,13.44
2012-12-28,13.39
2012-12-31,13.51
2013-01-02,13.67
2013-01-03,13.94
2013-01-04,14.02
2013-01-07,14.03
2013-01-08,14.39
2013-01-09,14.13
2013-01-10,14.09
2013-01-11,14.18
2013-01-14,14.32
2013-01-15,14.12
2013-01-16,14
2013-01-17,14.12
2013-01-18,14.3
2013-01-21,14.44
2013-01-22,14.69
2013-01-23,14.67
2013-01-24,14.79
2013-01-25,14.8
2013-01-28,14.72
2013-01-29,14.67
2013-01-30,14.63
2013-01-31,14.4
2013-02-01,14.44
2013-02-04,14.38
2013-02-05,14.51
2013-02-06,14.41
2013-02-07,14.55
2013-02-08,14.84
2013-02-11,15.28
2013-02-12,15.4
2013-02-13,15.21
2013-02-14,15.37
2013-02-15,15.52
2013-02-19,15.53
2013-02-20,15.19
2013-02-21,15.01
2013-02-22,15.15
2013-02-25,14.84
2013-02-26,14.9
2013-02-27,15.19
2013-02-28,15.3
2013-03-01,15.23
2013-03-04,15.2
2013-03-05,15.35
2013-03-06,15.39
2013-03-07,15.41
2013-03-08,15.51
2013-03-11,15.65
